line_no	name	outcome	classification	disposition	documentation_url	observed_reason	command	status_source	classification_source
255	file_attr03	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/fs.h:134: TCONF: syscall(-1) __NR_file_setattr not supported on your arch	file_attr03 file_attr03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
256	file_attr04	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/fs.h:134: TCONF: syscall(-1) __NR_file_setattr not supported on your arch	file_attr04 file_attr04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
257	file_attr05	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/fs.h:134: TCONF: syscall(-1) __NR_file_setattr not supported on your arch	file_attr05 file_attr05	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
288	fchown01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/fchown/../utils/compat_tst_16.h:143: TCONF: 16-bit version of fchown() is not supported on your platform	fchown01_16 fchown01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
290	fchown02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/fchown/../utils/compat_tst_16.h:143: TCONF: 16-bit version of fchown() is not supported on your platform	fchown02_16 fchown02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
292	fchown03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/fchown/../utils/compat_tst_16.h:143: TCONF: 16-bit version of fchown() is not supported on your platform	fchown03_16 fchown03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
294	fchown04_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/fchown/../utils/compat_tst_16.h:143: TCONF: 16-bit version of fchown() is not supported on your platform	fchown04_16 fchown04_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
296	fchown05_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/fchown/../utils/compat_tst_16.h:143: TCONF: 16-bit version of fchown() is not supported on your platform	fchown05_16 fchown05_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
377	fcntl40	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.12 or newer	fcntl40 fcntl40	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
378	fcntl40_64	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.12 or newer	fcntl40_64 fcntl40_64	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
407	fork05	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: Test only supports Intel 32 bits	fork05 fork05	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
457	ftruncate04	TCONF	kernel_config_or_policy	inspect_kernel_or_guest_setup	https://docs.kernel.org/kbuild/kconfig.html	tst_test.c:1453: TCONF: Aborting due to unsuitable kernel config, see above!	ftruncate04 ftruncate04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
458	ftruncate04_64	TCONF	kernel_config_or_policy	inspect_kernel_or_guest_setup	https://docs.kernel.org/kbuild/kconfig.html	tst_test.c:1453: TCONF: Aborting due to unsuitable kernel config, see above!	ftruncate04_64 ftruncate04_64	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
461	futimesat01	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	futimesat01 1 TCONF : futimesat01.c:61: syscall(-1) __NR_futimesat not supported on your arch	futimesat01 futimesat01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
471	getcwd04	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	tst_test.c:1492: TCONF: Test needs at least 2 CPUs online	getcwd04 getcwd04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
484	geteuid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/geteuid/../utils/compat_tst_16.h:104: TCONF: 16-bit version of geteuid() is not supported on your platform	geteuid01_16 geteuid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
486	geteuid02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/geteuid/../utils/compat_tst_16.h:104: TCONF: 16-bit version of geteuid() is not supported on your platform	geteuid02_16 geteuid02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
489	getgid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getgid/../utils/compat_tst_16.h:99: TCONF: 16-bit version of getgid() is not supported on your platform	getgid01_16 getgid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
491	getgid03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getgid/../utils/compat_tst_16.h:99: TCONF: 16-bit version of getgid() is not supported on your platform	getgid03_16 getgid03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
494	getgroups01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getgroups01_16 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getgroups/../utils/compat_16.h:82: 16-bit version of getgroups() is not supported on your platform	getgroups01_16 getgroups01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
496	getgroups03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getgroups03_16 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getgroups/../utils/compat_16.h:77: 16-bit version of setgroups() is not supported on your platform	getgroups03_16 getgroups03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
533	getresgid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresgid01 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresgid/../utils/compat_16.h:151: 16-bit version of getresgid() is not supported on your platform	getresgid01_16 getresgid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
535	getresgid02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresgid02 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresgid/../utils/compat_16.h:151: 16-bit version of getresgid() is not supported on your platform	getresgid02_16 getresgid02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
537	getresgid03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresgid03 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresgid/../utils/compat_16.h:151: 16-bit version of getresgid() is not supported on your platform	getresgid03_16 getresgid03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
540	getresuid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresuid01 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresuid/../utils/compat_16.h:141: 16-bit version of getresuid() is not supported on your platform	getresuid01_16 getresuid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
542	getresuid02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresuid02 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresuid/../utils/compat_16.h:141: 16-bit version of getresuid() is not supported on your platform	getresuid02_16 getresuid02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
544	getresuid03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	getresuid03 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getresuid/../utils/compat_16.h:141: 16-bit version of getresuid() is not supported on your platform	getresuid03_16 getresuid03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
574	getuid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getuid/../utils/compat_tst_16.h:89: TCONF: 16-bit version of getuid() is not supported on your platform	getuid01_16 getuid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
576	getuid03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/getuid/../utils/compat_tst_16.h:89: TCONF: 16-bit version of getuid() is not supported on your platform	getuid03_16 getuid03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
600	ioctl10	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl10.c:175: TCONF: This system does not provide support for ioctl(PROCMAP_QUERY)	ioctl10      ioctl10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
627	ioctl_getlbmd01	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.17 or newer	ioctl_getlbmd01 ioctl_getlbmd01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
629	ioctl_pidfd01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd01.c:47: TCONF: PIDFD_INFO_EXIT is not supported by ioctl()	ioctl_pidfd01 ioctl_pidfd01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
630	ioctl_pidfd02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd02.c:70: TCONF: PIDFD_INFO_EXIT is not supported by ioctl()	ioctl_pidfd02 ioctl_pidfd02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
631	ioctl_pidfd03	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd03.c:52: TCONF: PIDFD_INFO_EXIT is not supported by ioctl()	ioctl_pidfd03 ioctl_pidfd03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
632	ioctl_pidfd04	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd04.c:58: TCONF: PIDFD_INFO_EXIT is not supported by ioctl()	ioctl_pidfd04 ioctl_pidfd04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
633	ioctl_pidfd05	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd05.c:63: TCONF: ioctl(PIDFD_GET_INFO) is not implemented	ioctl_pidfd05 ioctl_pidfd05	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
634	ioctl_pidfd06	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ioctl_pidfd06.c:55: TCONF: PIDFD_INFO_EXIT is not supported by ioctl()	ioctl_pidfd06 ioctl_pidfd06	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
664	fanotify13	TFAIL	kernel_filesystem_semantics	requires_kernel_or_filesystem_investigation	https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=c45beebfde34	fanotify13.c:282: TFAIL: handle_bytes (0) returned in event does not equal to handle_bytes (20) returned in name_to_handle_at(2)	fanotify13 fanotify13	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
675	fanotify24	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	fanotify24.c:529: TCONF: FAN_PRE_ACCESS not supported in kernel?	fanotify24 fanotify24	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
678	ioperm01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: LSB v1.3 does not specify ioperm() for this architecture. (only for i386 or x86_64)	ioperm01 ioperm01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
679	ioperm02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: LSB v1.3 does not specify ioperm() for this architecture. (only for i386 or x86_64)	ioperm02 ioperm02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
681	iopl01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: LSB v1.3 does not specify iopl() for this architecture. (only for i386 or x86_64)	iopl01 iopl01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
682	iopl02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: LSB v1.3 does not specify iopl() for this architecture. (only for i386 or x86_64)	iopl02 iopl02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
728	kill13	TCONF	kernel_config_or_policy	inspect_kernel_or_guest_setup	https://docs.kernel.org/kbuild/kconfig.html	tst_test.c:1453: TCONF: Aborting due to unsuitable kernel config, see above!	kill13 kill13	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
735	landlock06	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/userspace-api/landlock.html	landlock06.c:44: TCONF: LANDLOCK_ACCESS_FS_IOCTL_DEV is not supported	landlock06 landlock06	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
